"fecha_vigencia","precio","provincia","localidad","direccion"
"08/12/2023",404,"CAPITAL FEDERAL","CAPITAL FEDERAL","AV. JUAN BAUTISTA ALBERDI 5628"
"13/12/2023",553,"CAPITAL FEDERAL","CAPITAL FEDERAL","AV. JUAN BAUTISTA ALBERDI 5628"
"18/08/2023",240.5,"CAPITAL FEDERAL","CAPITAL FEDERAL","AV. JUAN BAUTISTA ALBERDI 5628"
"23/10/2023",248,"CAPITAL FEDERAL","CAPITAL FEDERAL","AV. JUAN BAUTISTA ALBERDI 5628"
"25/11/2023",311,"CAPITAL FEDERAL","CAPITAL FEDERAL","AV. JUAN BAUTISTA ALBERDI 5628"
"01/11/2023",325,"SANTA FE","LAS PAREJAS","RUTA NAC. 178 Y CALLE 5"
"02/08/2023",255.8,"SANTA FE","LAS PAREJAS","RUTA NAC. 178 Y CALLE 5"
"08/07/2023",244.8,"SANTA FE","LAS PAREJAS","RUTA NAC. 178 Y CALLE 5"
"08/12/2023",462,"SANTA FE","LAS PAREJAS","RUTA NAC. 178 Y CALLE 5"
"13/12/2023",639,"SANTA FE","LAS PAREJAS","RUTA NAC. 178 Y CALLE 5"
"18/08/2023",287.8,"SANTA FE","LAS PAREJAS","RUTA NAC. 178 Y CALLE 5"
"23/10/2023",296,"SANTA FE","LAS PAREJAS","RUTA NAC. 178 Y CALLE 5"
"25/11/2023",372,"SANTA FE","LAS PAREJAS","RUTA NAC. 178 Y CALLE 5"
"01/11/2023",306,"MENDOZA","RIVADAVIA","SAN ISIDRO 902"
"02/08/2023",240.9,"MENDOZA","RIVADAVIA","SAN ISIDRO 902"
"08/07/2023",230.5,"MENDOZA","RIVADAVIA","SAN ISIDRO 902"
"08/12/2023",430,"MENDOZA","RIVADAVIA","SAN ISIDRO 902"
"13/12/2023",599,"MENDOZA","RIVADAVIA","SAN ISIDRO 902"
"18/08/2023",271,"MENDOZA","RIVADAVIA","SAN ISIDRO 902"
"23/10/2023",279,"MENDOZA","RIVADAVIA","SAN ISIDRO 902"
"25/11/2023",350,"MENDOZA","RIVADAVIA","SAN ISIDRO 902"
"01/11/2023",335,"CORDOBA","ALTA GRACIA","AV.BELGRANO Y AV.SAN JUAN BOSCO s/n"
"02/08/2023",263.8,"CORDOBA","ALTA GRACIA","AV.BELGRANO Y AV.SAN JUAN BOSCO s/n"
"08/07/2023",252.4,"CORDOBA","ALTA GRACIA","AV.BELGRANO Y AV.SAN JUAN BOSCO s/n"
"08/12/2023",476,"CORDOBA","ALTA GRACIA","AV.BELGRANO Y AV.SAN JUAN BOSCO s/n"
"10/10/2023",306.8,"CORDOBA","ALTA GRACIA","AV.BELGRANO Y AV.SAN JUAN BOSCO s/n"
